Alabama
  Autauga County, AL (fips:01001)
    H-AR-03                   Kalagias, Michael (Lib)        233
                                   Mahony, Josh (Dem)       2236
                                  Womack, Steve (GOP)       9130
  Bradley County, AR (fips:05011)
    G-AR                       Henderson, Jared (Dem)        866
                                Hutchinson, Asa (GOP)       1904
                                     West, Mark (Lib)         80
    H-AR-04                         Canada, Tom (Lib)         70
                                 Shamel, Hayden (Dem)        934
                               Westerman, Bruce (GOP)       1831
  Calhoun County, AR (fips:05013)
    G-AR                       Henderson, Jared (Dem)        420
                                Hutchinson, Asa (GOP)       1324
                                     West, Mark (Lib)         33
    H-AR-04                         Canada, Tom (Lib)         28
                                 Shamel, Hayden (Dem)        478
                               Westerman, Bruce (GOP)       1259
  Carroll County, AR (fips:05015)
    G-AR                       Henderson, Jared (Dem)       2965
                                Hutchinson, Asa (GOP)       5782
                                     West, Mark (Lib)        204
    H-AR-03                   Kalagias, Michael (Lib)        188
                                   Mahony, Josh (Dem)       3090
                                  Womack, Steve (GOP)       5650
  Chicot County, AR (fips:05017)
    G-AR                       Henderson, Jared (Dem)       1855
                                Hutchinson, Asa (GOP)       1638
                                     West, Mark (Lib)         56
    H-AR-01                      Crawford, Rick (GOP)       1537
                                 Desai, Chintan (Dem)       1927
                                 Presley, Elvis (Lib)         61
  Clark County, AR (fips:05019)
    G-AR                       Henderson, Jared (Dem)       2609
                                Hutchinson, Asa (GOP)       3987
                                     West, Mark (Lib)        132
    H-AR-04                         Canada, Tom (Lib)        107
                                 Shamel, Hayden (Dem)       2846
                               Westerman, Bruce (GOP)       3766
  Clay County, AR (fips:05021)
    G-AR                       Henderson, Jared (Dem)        782
                                Hutchinson, Asa (GOP)       3218
                                     West, Mark (Lib)        132
    H-AR-01                      Crawford, Rick (GOP)       3182
                                 Desai, Chintan (Dem)        842
                                 Presley, Elvis (Lib)         90
  Cleburne County, AR (fips:05023)
    G-AR                       Henderson, Jared (Dem)       1495
                                Hutchinson, Asa (GOP)       7856
                                     West, Mark (Lib)        273
    H-AR-01                      Crawford, Rick (GOP)       7928
                                 Desai, Chintan (Dem)       1503
                                 Presley, Elvis (Lib)        185
  Cleveland County, AR (fips:05025)
    G-AR                       Henderson, Jared (Dem)        508
                                Hutchinson, Asa (GOP)       1988
                                     West, Mark (Lib)         56
    H-AR-04                         Canada, Tom (Lib)         37
                                 Shamel, Hayden (Dem)        530
                               Westerman, Bruce (GOP)       1984
  Columbia County, AR (fips:05027)
    G-AR                       Henderson, Jared (Dem)       2042
                                Hutchinson, Asa (GOP)       4199
                                     West, Mark (Lib)         98
    H-AR-04                         Canada, Tom (Lib)         66
                                 Shamel, Hayden (Dem)       2169
                               Westerman, Bruce (GOP)       4092
  Conway County, AR (fips:05029)
    G-AR                       Henderson, Jared (Dem)       1966
                                Hutchinson, Asa (GOP)       4337
                                     West, Mark (Lib)        159
    H-AR-02                        Hill, French (GOP)       3907
                                  Swafford, Joe (Lib)        111
                                 Tucker, Clarke (Dem)       2443
  Craighead County, AR (fips:05031)
    G-AR                       Henderson, Jared (Dem)       7385
                                Hutchinson, Asa (GOP)      17297
                                     West, Mark (Lib)       1357
    H-AR-01                      Crawford, Rick (GOP)      17370
                                 Desai, Chintan (Dem)       8068
                                 Presley, Elvis (Lib)        565
  Crawford County, AR (fips:05033)
    G-AR                       Henderson, Jared (Dem)       3110
                                Hutchinson, Asa (GOP)      13164
                                     West, Mark (Lib)        538
    H-AR-03                   Kalagias, Michael (Lib)        306
                                   Mahony, Josh (Dem)       2353
                                  Womack, Steve (GOP)       9349
    H-AR-04                         Canada, Tom (Lib)        115
                                 Shamel, Hayden (Dem)        936
                               Westerman, Bruce (GOP)       3706
  Crittenden County, AR (fips:05035)
    G-AR                       Henderson, Jared (Dem)       5792
                                Hutchinson, Asa (GOP)       5758
                                     West, Mark (Lib)        307
    H-AR-01                      Crawford, Rick (GOP)       5585
                                 Desai, Chintan (Dem)       6041
                                 Presley, Elvis (Lib)        175
  Cross County, AR (fips:05037)
